pair,rank_DO_ss,val_DO_ss,rank_DO_B,val_DO_B,rank_DO_2B,val_DO_2B,val_ΔB_sym,ΔB_rank,compatible_discrete,sign_correct
ADEL–URYVR,2,-0.06880039698078091,2,-0.057393085861929365,2,-0.053043820779937356,0.007878288100421777,370,YES,YES
ADEL–URYDL,6,-0.04978273426434956,3,-0.0515269142703755,10,-0.03922713970156287,0.005277797281393345,601,YES,YES
ADEL–RMEL,4,-0.054900309943477166,18,-0.029183603900312802,837,-0.00691635153721093,0.023991979203133118,1,YES,YES
RMEL–URYDL,23,-0.030996388106636855,168,-0.01574513228786039,836,-0.006925687308307629,0.012035350399164613,125,YES,YES
RMEL–RMER,38,-0.025446968705615892,371,-0.01088015812945685,1267,0.0008315197227022134,0.013139244214159053,95,YES,YES
