ADEL_URYVR,ADEL_URYDL,ADEL_RMEL,RMEL_URYDL,RMEL_RMER,pdf_top20,da_ury_rank
160,1037,19,864,197,1,5
560,105,62,119,23,1,10
462,109,1,25,538,3,6
354,61,4,631,980,1,3
31,577,74,378,338,1,9
498,717,3,93,515,1,7
191,341,1,50,162,1,6
814,177,21,345,114,0,6
499,1028,10,1153,298,2,10
67,359,1,675,197,1,4
611,696,2,463,279,1,9
1143,114,1,209,36,3,6
530,39,25,102,184,0,4
891,356,1,560,68,3,7
44,219,35,177,328,2,5
139,489,2,1178,1103,1,2
922,1079,28,112,414,1,9
1090,1105,25,101,172,1,9
512,726,6,647,645,1,10
426,372,69,455,308,0,4
810,546,4,116,187,1,6
1122,329,3,63,452,1,8
641,91,1,11,1026,4,5
852,119,1,238,207,1,10
33,167,1,149,1150,1,8
17,1198,35,299,191,2,4
609,1319,1,580,290,1,12
367,1107,70,93,888,0,9
223,151,53,104,17,1,10
118,239,11,180,247,1,6
548,446,44,112,245,1,8
376,1283,1,580,1074,2,10
491,316,15,953,56,1,14
275,994,7,163,17,3,14
849,656,27,241,384,0,11
1290,1110,1,282,206,1,6
1131,1291,11,157,880,1,11
327,555,14,1096,220,2,3
110,24,4,222,124,3,4
185,487,7,145,221,1,12
215,694,34,36,489,0,7
101,555,1,43,484,1,5
349,1147,7,318,561,1,6
52,45,10,128,907,3,1
1232,663,3,1131,160,2,12
208,17,1,47,97,3,9
116,529,1,801,1102,2,9
124,96,3,201,1286,2,7
30,104,3,8,719,2,7
804,1190,3,86,472,2,11
394,139,4,906,674,1,6
376,116,15,1002,173,1,5
365,552,5,148,481,3,4
320,537,25,358,164,0,6
512,1007,30,367,1057,1,7
266,570,15,18,551,3,2
914,414,39,1053,812,1,6
206,217,2,721,186,2,5
10,1076,15,447,560,2,12
152,12,5,70,527,2,4
297,253,1,142,386,2,8
320,143,86,674,11,2,5
125,616,9,427,1247,3,3
796,952,4,137,315,3,10
424,800,3,199,555,1,4
18,645,7,522,65,2,2
244,367,2,395,489,1,6
1266,984,3,43,1294,2,7
154,755,29,862,87,0,4
28,771,18,144,1082,1,2
200,387,1,1066,1051,1,6
131,580,35,58,889,0,5
506,1162,2,77,379,1,8
1047,91,2,890,775,1,10
635,632,2,197,314,1,6
187,314,5,747,213,2,6
344,1237,2,331,1313,1,5
1307,24,7,779,106,2,9
846,1115,1,62,1318,1,5
336,105,3,359,701,2,3
467,324,4,862,1260,2,7
30,258,1,18,100,4,9
498,224,2,99,116,1,11
248,65,15,1197,701,2,2
89,1008,1014,143,1016,0,7
240,429,18,125,993,2,3
356,1249,29,69,861,0,13
451,452,1,176,1123,1,8
194,1249,260,646,185,0,6
137,37,11,521,287,1,9
1199,274,1,393,970,2,7
616,743,1,196,385,2,13
91,1055,5,109,350,3,7
823,94,1,116,623,1,10
80,967,60,1211,211,0,7
308,688,686,447,341,0,6
599,490,1,768,233,2,6
414,284,1,1024,349,1,5
106,45,144,71,1285,0,5
152,88,17,60,753,2,6
1265,98,1,836,890,2,9
53,553,158,64,549,1,7
884,266,4,1087,1067,1,6
648,534,41,201,57,1,6
353,629,1,824,91,1,9
126,144,8,77,194,1,13
42,29,14,812,24,2,7
121,455,10,695,137,1,3
1192,1116,4,159,1211,3,12
246,127,2,1161,1215,1,3
571,159,1,197,345,2,4
6,468,1,250,291,3,7
475,724,3,769,121,1,9
328,849,11,144,487,1,9
483,192,5,814,78,1,6
465,1279,1,46,689,1,9
553,704,2,26,846,2,4
186,1048,158,258,398,1,7
54,1080,1,675,989,2,6
15,1053,3,440,795,2,6
53,477,5,25,80,2,12
691,414,11,93,348,1,5
23,81,3,503,388,1,11
1312,302,8,35,791,2,1
56,3,74,305,69,2,3
761,633,22,878,1156,0,4
579,13,1,602,191,2,4
945,1102,1,114,819,1,8
284,322,5,289,49,2,3
962,1087,1,637,1284,1,7
4,51,13,448,764,2,4
1024,956,4,611,755,1,6
534,659,2,284,306,1,12
336,9,1,378,75,3,2
1130,336,1,63,542,1,3
885,7,1,695,16,7,8
77,782,13,161,779,2,10
524,133,5,362,770,2,2
203,19,3,12,61,3,5
491,1050,2,63,1310,2,4
310,1081,13,194,1298,2,8
121,715,10,2,914,2,7
1273,829,9,996,1060,2,7
1318,83,1,70,537,2,5
80,1014,5,631,1203,1,8
101,183,1,204,25,2,13
90,13,2,27,117,5,6
1080,189,1,707,883,1,8
346,690,15,1156,632,3,5
138,89,2,128,103,1,5
822,1230,22,790,111,1,6
432,285,12,220,708,2,3
36,883,24,322,277,0,10
317,27,1,845,1041,1,4
141,440,44,205,443,0,7
310,322,228,709,530,0,11
207,40,2,517,79,1,4
155,773,5,1,680,3,10
1270,897,33,944,473,1,13
8,820,144,64,883,2,7
1111,208,7,58,355,2,12
51,1062,8,1,1306,4,4
1059,1290,3,605,434,3,11
1036,119,1,132,453,3,2
513,544,1,609,1170,2,6
384,274,19,231,432,1,6
766,102,1,742,235,2,10
313,360,12,33,123,4,8
132,145,8,215,41,1,8
822,27,2,91,440,2,2
66,812,134,1036,20,2,4
708,1019,11,1138,260,3,11
253,805,8,132,1093,1,9
256,821,4,76,944,1,7
151,37,48,348,152,3,7
235,1,14,1128,11,4,5
77,649,7,1297,146,2,11
322,1170,1,671,123,2,15
93,860,6,91,1296,1,2
385,253,1,366,318,2,12
1223,831,41,136,269,1,12
280,385,27,72,1041,1,11
30,155,21,937,200,1,10
430,456,3,618,182,3,11
220,271,2,211,838,2,2
418,193,1,95,30,1,8
969,296,20,1218,441,1,2
139,133,15,309,1113,1,3
1244,838,1,1264,1110,1,12
181,94,11,549,171,1,7
503,542,1,42,416,2,5
98,511,1,205,643,1,6
97,1054,41,915,291,0,13
252,758,86,53,514,1,11
182,828,15,1096,54,2,8
30,1183,7,108,403,2,11
89,1268,8,1084,148,1,3
199,313,32,264,355,1,6
273,862,1,407,387,1,11
731,1292,8,537,571,1,13
9,221,2,202,542,3,7
806,544,16,693,1228,2,7
62,1288,3,993,457,1,3
426,1060,4,103,655,3,10
293,278,19,245,893,2,3
24,23,362,1017,77,1,2
781,7,2,1127,116,3,3
871,709,1,327,119,1,5
565,1002,66,161,557,1,6
672,1304,29,503,1164,1,6
268,358,7,536,742,1,9
93,551,2,113,956,1,11
104,11,8,136,143,2,6
244,375,12,488,85,1,8
1129,347,596,186,850,2,5
1223,85,4,1018,61,2,11
29,1079,8,25,444,1,9
494,536,1,19,1287,2,5
481,563,78,1308,554,1,4
128,1023,1,276,114,1,14
1210,1119,1,88,669,1,9
86,923,4,871,362,2,6
365,476,6,655,414,2,4
13,549,101,392,307,1,9
842,224,13,969,1159,1,3
36,632,11,202,101,1,5
44,21,6,1175,63,2,2
145,547,7,146,780,1,7
280,768,37,314,472,1,5
74,810,60,63,764,1,10
39,478,1,14,815,3,2
376,97,1,290,1008,2,6
49,693,21,315,84,1,11
649,1127,20,140,1156,1,10
13,102,26,876,149,2,2
401,1095,6,84,409,3,9
219,257,3,1223,125,1,7
996,128,6,493,303,2,9
696,200,1,11,328,3,9
26,261,8,125,85,1,7
1074,1078,2,271,485,2,13
58,774,2,250,637,1,7
334,386,2,664,689,1,3
778,258,3,680,599,2,10
11,552,152,240,280,1,3
660,527,10,56,401,3,8
32,79,11,892,507,2,6
213,1202,1,57,529,1,4
161,615,3,38,190,2,14
344,292,16,449,104,1,10
137,3,1,549,123,2,4
1263,1153,10,496,198,1,6
742,123,2,209,1112,1,6
414,335,17,74,175,2,8
967,341,1,1271,836,2,7
90,173,4,80,1157,2,10
204,855,2,281,1005,2,5
107,1290,1,237,49,1,13
1026,1,6,609,266,4,4
346,607,12,78,839,1,6
80,621,10,183,687,1,5
822,254,1,252,112,2,10
750,155,2,304,721,1,8
278,1293,202,1277,398,3,7
36,7,1,155,451,2,4
382,1058,1,39,568,3,10
1090,36,7,1156,627,1,6
154,413,14,303,565,1,3
1076,767,2,89,751,1,9
162,1049,67,83,1070,1,7
510,919,4,309,671,2,9
1044,158,146,765,211,2,4
1292,287,11,1207,349,4,8
441,39,38,75,359,2,4
969,591,11,219,463,1,3
156,58,1,93,412,1,3
155,92,3,168,535,1,4
1290,157,25,9,911,1,5
543,10,3,70,1240,3,3
13,21,872,742,187,2,2
67,948,1,313,562,2,4
1116,727,2,639,895,1,12
680,1015,19,1154,156,1,9
888,388,13,159,439,2,10
