pair,n_coobs,total_frames,abs_DO_ss,primary_rank,n_matched,matched_median,empirical_pct,p_matched
ADEL–URYVR,28,44790.0,0.06880039698078091,2,981,0.0053034281501905915,0.9989806320081549,0.0010193679918450993
ADEL–URYDL,29,46390.0,0.04978273426434956,6,1092,0.005320034215215104,0.9954212454212454,0.0045787545787545625
ADEL–RMEL,30,47989.0,0.054900309943477166,4,1241,0.00522163193121539,0.9975825946817083,0.00241740531829171
RMEL–URYDL,30,47989.0,0.030996388106636855,23,1241,0.00522163193121539,0.9822723609991942,0.01772763900080576
RMEL–RMER,34,54388.0,0.025446968705615892,38,1230,0.00502388976006532,0.9739837398373984,0.026016260162601612
